experiment,excluded_te_group,raw_feature_count,te_feature_count,total_feature_count,raw_balanced_accuracy,inverse_prior_balanced_accuracy,inverse_prior_at_risk_recall,inverse_prior_fit_recall,inverse_prior_unhealthy_recall,logloss,seconds,lofo_importance
te26_all_groups,,13,26,39,0.8965581685195954,0.9495298958772667,0.9319056298096395,0.9467403592513504,0.9699436985708099,0.08922832144892229,159.12510085105896,
without_sleep_duration,sleep_duration,13,24,37,0.8874867381130063,0.9489051203029599,0.9330194410692588,0.9479964828539128,0.9656994369857081,0.0903288227967462,149.41458749771118,0.0006247755743067351
without_calorie_expenditure,calorie_expenditure,13,24,37,0.8938851095034979,0.9492642723105429,0.9315849871742946,0.9479964828539128,0.9682113469034214,0.08902746976556243,149.46330857276917,0.00026562356672377163
without_step_count,step_count,13,24,37,0.891709705200748,0.9492643779661547,0.931078709329013,0.9471171963321191,0.9695972282373322,0.08921783197979652,149.34137177467346,0.00026551791111195655
without_heart_rate,heart_rate,13,24,37,0.8888734836498792,0.9492664023395786,0.9316693668151749,0.9477452581334004,0.9683845820701602,0.0890935454046051,149.41824460029602,0.00026349353768806427
without_gender,gender,13,24,37,0.888757873601907,0.9495439802054734,0.9324372215471851,0.9471171963321191,0.9690775227371157,0.088658529502895,149.4612340927124,-1.4084328206709351e-05
without_smoking_alcohol,smoking_alcohol,13,24,37,0.8886121479694786,0.9495903432252576,0.9335594707708924,0.9467403592513504,0.9684711996535297,0.08859518209276346,149.46265697479248,-6.0447347990932876e-05
without_water_intake,water_intake,13,24,37,0.8817719745079677,0.9498374182499836,0.931745308491967,0.9479964828539128,0.969770463404071,0.08975185107919556,149.4563009738922,-0.0003075223727169174
without_exercise_duration,exercise_duration,13,24,37,0.8921846541388295,0.9498653101731516,0.9321840826245443,0.9482477075744253,0.969164140320485,0.08861141027054381,149.54276847839355,-0.000335414295884906
without_stress_level,stress_level,13,24,37,0.8924721711528282,0.9499864466484295,0.9326903604698258,0.9486245446551941,0.9686444348202685,0.08874234320212482,149.61277723312378,-0.0004565507711628003
without_diet_type,diet_type,13,24,37,0.888274049987078,0.949995410059767,0.934445457000135,0.9472428086923753,0.9682979644867908,0.08846263869192089,149.56809663772583,-0.00046551418250029286
without_bmi,bmi,13,24,37,0.8933874149385383,0.950012459705397,0.9328422438234103,0.9469915839718628,0.9702035513209182,0.0885212882048043,149.3055021762848,-0.000482563828130389
without_physical_activity_level,physical_activity_level,13,24,37,0.894576128460649,0.9500389487834745,0.9327916160388822,0.9482477075744253,0.9690775227371157,0.08869246032856382,149.62259078025818,-0.0005090529062078408
without_sleep_quality,sleep_quality,13,24,37,0.8928007330785371,0.9500865926446836,0.9332810179559876,0.9482477075744253,0.968731052403638,0.08858131618130245,149.63190627098083,-0.0005566967674169865
